CookerStat, GenerateAssetRegistry=0.021130, Initialize=0.111993, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_0, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/PickupableItem.uasset, AutoPackageBackupDelegate=11.367970, FlushAsyncLoading=0.015095, FlushStreamingFunc=0.045583, BlockTillAllRequestsFinished=0.006642, ResetLoadersForSaveUnMarkAllObjects=0.743818, TagPackageExports=13.910048, BeginCacheForCookedPlatformData=0.004832, SerializeImports=14.014498, GatherLocalizableTextData=10.582190, MarkNames=0.113808, SerializeSummary=0.018414, SerializeNames=0.257198, SerializeGatherableTextData=0.111692, BuildExportMap=0.208594, SortExportsNonSeekfree=2.164438, SortExportsSeekfreeConstructor=0.064299, SortExportsSeekfreeInner=16.276739, SortExportsSeekfree=0.006039, BuildDependencyMap=0.140071, SerializeImportMap=0.016302, SerializeExportMap=0.072148, SerializeDependencyMap=0.026565, SerializeStringAssetReferenceMap=0.002116, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.266623, SerializeExports=18.015533, SerializeBulkData=0.021435, MoveFile=4.060507, UnaccountedTime=3.015719, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_1, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/PickupableItem.uasset, AutoPackageBackupDelegate=4.692931, FlushAsyncLoading=0.003625, FlushStreamingFunc=0.046790, BlockTillAllRequestsFinished=0.004224, ResetLoadersForSaveUnMarkAllObjects=0.168748, TagPackageExports=12.827828, BeginCacheForCookedPlatformData=0.004530, SerializeImports=13.565611, GatherLocalizableTextData=10.040026, MarkNames=0.088450, SerializeSummary=0.013884, SerializeNames=0.265047, SerializeGatherableTextData=0.118636, BuildExportMap=0.182029, SortExportsNonSeekfree=2.186775, SortExportsSeekfreeConstructor=0.055846, SortExportsSeekfreeInner=15.402213, SortExportsSeekfree=0.006039, BuildDependencyMap=0.119541, SerializeImportMap=0.014793, SerializeExportMap=0.072449, SerializeDependencyMap=0.014793, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.787249, SerializeExports=18.087986, SerializeBulkData=0.009358, MoveFile=3.802102, UnaccountedTime=1.086444, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_2, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/PickupableItem.uasset, AutoPackageBackupDelegate=5.891979, FlushAsyncLoading=0.003923, FlushStreamingFunc=0.023849, BlockTillAllRequestsFinished=0.003319, ResetLoadersForSaveUnMarkAllObjects=0.161201, TagPackageExports=13.778735, BeginCacheForCookedPlatformData=0.005133, SerializeImports=14.708504, GatherLocalizableTextData=10.535099, MarkNames=0.096601, SerializeSummary=0.014793, SerializeNames=0.266250, SerializeGatherableTextData=0.126485, BuildExportMap=0.207089, SortExportsNonSeekfree=2.368502, SortExportsSeekfreeConstructor=0.071544, SortExportsSeekfreeInner=16.582840, SortExportsSeekfree=0.006944, BuildDependencyMap=0.134334, SerializeImportMap=0.015095, SerializeExportMap=0.076674, SerializeDependencyMap=0.015698, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.908298, SerializeExports=18.904556, SerializeBulkData=0.009358, MoveFile=4.420944, UnaccountedTime=1.298964, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_3, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/PickupableItem.uasset, AutoPackageBackupDelegate=6.167889, FlushAsyncLoading=0.004832, FlushStreamingFunc=0.032600, BlockTillAllRequestsFinished=0.003625, ResetLoadersForSaveUnMarkAllObjects=0.160597, TagPackageExports=14.057666, BeginCacheForCookedPlatformData=0.006340, SerializeImports=15.241012, GatherLocalizableTextData=10.948666, MarkNames=0.091769, SerializeSummary=0.012979, SerializeNames=0.258405, SerializeGatherableTextData=0.122260, BuildExportMap=0.189576, SortExportsNonSeekfree=2.509177, SortExportsSeekfreeConstructor=0.050113, SortExportsSeekfreeInner=17.123796, SortExportsSeekfree=0.006642, BuildDependencyMap=0.132222, SerializeImportMap=0.016302, SerializeExportMap=0.076674, SerializeDependencyMap=0.016302, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.058334, SerializeExports=19.561131, SerializeBulkData=0.010263, MoveFile=74.051186, UnaccountedTime=2.076291, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_4, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Blueprints/Objects/PickupableItem.uasset, AutoPackageBackupDelegate=4.582446, FlushAsyncLoading=0.004228, FlushStreamingFunc=0.047997, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=0.177804, TagPackageExports=14.355615, BeginCacheForCookedPlatformData=0.004832, SerializeImports=14.479383, GatherLocalizableTextData=10.725279, MarkNames=0.102635, SerializeSummary=0.015095, SerializeNames=0.255082, SerializeGatherableTextData=0.111997, BuildExportMap=0.191689, SortExportsNonSeekfree=2.511289, SortExportsSeekfreeConstructor=0.009660, SortExportsSeekfreeInner=16.378775, SortExportsSeekfree=0.006642, BuildDependencyMap=0.143692, SerializeImportMap=0.015091, SerializeExportMap=0.076979, SerializeDependencyMap=0.015397, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.922634, SerializeExports=19.285217, SerializeBulkData=0.011474, MoveFile=3.699161, UnaccountedTime=1.249760, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
SavePackageTransactionIdC363C65B457D5628F5B7709D5C2ACF5C_5, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/Levels/MainLevel.umap, AutoPackageBackupDelegate=8.296099, FlushAsyncLoading=0.010867, FlushStreamingFunc=0.044074, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=54.304104, TagPackageExports=2.820406, BeginCacheForCookedPlatformData=0.002418, SerializeImports=3.654182, GatherLocalizableTextData=13.308115, MarkNames=0.121653, SerializeSummary=0.016905, SerializeNames=0.470925, SerializeGatherableTextData=0.060674, BuildExportMap=0.344440, SortExportsNonSeekfree=0.674084, SortExportsSeekfreeConstructor=0.055846, SortExportsSeekfreeInner=20.326078, SortExportsSeekfree=0.005737, BuildDependencyMap=0.114109, SerializeImportMap=0.051018, SerializeExportMap=0.041053, SerializeDependencyMap=0.008453, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.307417, SerializeExports=6.455273, SerializeBulkData=1.112405, MoveFile=3.568452, UnaccountedTime=1.300775, RunGuid=RunID4FE9123D4E3C72901B145785931D1639
