CookerStat, GenerateAssetRegistry=3.130734, Initialize=31.934038, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_11, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Levels/MainLevel_Auto3.umap, AutoPackageBackupDelegate=19.027718, FlushAsyncLoading=0.012677, FlushStreamingFunc=0.048906, BlockTillAllRequestsFinished=0.003923, ResetLoadersForSaveUnMarkAllObjects=75.270760, TagPackageExports=2.586454, BeginCacheForCookedPlatformData=0.003625, SerializeImports=3.248766, GatherLocalizableTextData=11.807498, MarkNames=0.092976, SerializeSummary=0.015397, SerializeNames=0.452206, SerializeGatherableTextData=0.030793, BuildExportMap=0.396058, SortExportsNonSeekfree=0.464283, SortExportsSeekfreeConstructor=0.060678, SortExportsSeekfreeInner=20.654213, SortExportsSeekfree=0.006944, BuildDependencyMap=0.106562, SerializeImportMap=0.034716, SerializeExportMap=0.032902, SerializeDependencyMap=0.007246, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.017917, SerializeExports=5.757946, SerializeBulkData=0.906829, MoveFile=3.591698, UnaccountedTime=0.214331, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_12, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=17.494499, FlushAsyncLoading=0.012379, FlushStreamingFunc=0.057053, BlockTillAllRequestsFinished=0.007246, ResetLoadersForSaveUnMarkAllObjects=0.172067, TagPackageExports=118.994484, BeginCacheForCookedPlatformData=0.006035, SerializeImports=127.811012, GatherLocalizableTextData=94.245346, MarkNames=1.185462, SerializeSummary=0.024147, SerializeNames=0.831965, SerializeGatherableTextData=0.903510, BuildExportMap=1.058973, SortExportsNonSeekfree=28.829567, SortExportsSeekfreeConstructor=0.023544, SortExportsSeekfreeInner=134.772232, SortExportsSeekfree=0.007547, BuildDependencyMap=1.272097, SerializeImportMap=0.050716, SerializeExportMap=0.575069, SerializeDependencyMap=0.148822, SerializeStringAssetReferenceMap=0.004228, SaveThumbNailsAssetRegistryDataWorldLevelInfo=16.130331, SerializeExports=156.333572, SerializeBulkData=0.012074, MoveFile=3.852215, UnaccountedTime=1.824524, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_13, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=9.922899, FlushAsyncLoading=0.004828, FlushStreamingFunc=0.028074, BlockTillAllRequestsFinished=0.003926, ResetLoadersForSaveUnMarkAllObjects=0.142787, TagPackageExports=124.236221, BeginCacheForCookedPlatformData=0.006039, SerializeImports=123.867035, GatherLocalizableTextData=93.418816, MarkNames=1.183044, SerializeSummary=0.022035, SerializeNames=0.929169, SerializeGatherableTextData=0.850379, BuildExportMap=1.074370, SortExportsNonSeekfree=30.315086, SortExportsSeekfreeConstructor=0.076070, SortExportsSeekfreeInner=134.399719, SortExportsSeekfree=0.007547, BuildDependencyMap=1.219269, SerializeImportMap=0.054941, SerializeExportMap=0.584729, SerializeDependencyMap=0.110183, SerializeStringAssetReferenceMap=0.002418, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.208454, SerializeExports=159.454651, SerializeBulkData=0.011168, MoveFile=4.245255, UnaccountedTime=1.775321, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_14, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Levels/MainLevel_Auto4.umap, AutoPackageBackupDelegate=14.176905, FlushAsyncLoading=0.012074, FlushStreamingFunc=0.049207, BlockTillAllRequestsFinished=0.006035, ResetLoadersForSaveUnMarkAllObjects=78.670769, TagPackageExports=2.100136, BeginCacheForCookedPlatformData=0.001810, SerializeImports=3.355630, GatherLocalizableTextData=9.189647, MarkNames=0.087544, SerializeSummary=0.017509, SerializeNames=0.466999, SerializeGatherableTextData=0.027470, BuildExportMap=0.300065, SortExportsNonSeekfree=0.415076, SortExportsSeekfreeConstructor=0.057355, SortExportsSeekfreeInner=17.794565, SortExportsSeekfree=0.006340, BuildDependencyMap=0.114713, SerializeImportMap=0.036828, SerializeExportMap=0.034109, SerializeDependencyMap=0.009358, SerializeStringAssetReferenceMap=0.002418, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.051124, SerializeExports=5.340755, SerializeBulkData=0.896566, MoveFile=3.306124, UnaccountedTime=0.209201, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_15, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/FromPrototype/Blueprints/PlayerDummy_Auto4.uasset, AutoPackageBackupDelegate=14.698848, FlushAsyncLoading=0.012375, FlushStreamingFunc=0.044376, BlockTillAllRequestsFinished=0.005435, ResetLoadersForSaveUnMarkAllObjects=0.164520, TagPackageExports=134.420547, BeginCacheForCookedPlatformData=0.006944, SerializeImports=136.194351, GatherLocalizableTextData=94.822533, MarkNames=1.352698, SerializeSummary=0.022639, SerializeNames=1.016714, SerializeGatherableTextData=1.061387, BuildExportMap=1.133237, SortExportsNonSeekfree=31.413906, SortExportsSeekfreeConstructor=0.020228, SortExportsSeekfreeInner=143.805496, SortExportsSeekfree=0.007547, BuildDependencyMap=1.183346, SerializeImportMap=0.053734, SerializeExportMap=0.612501, SerializeDependencyMap=0.108372, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=23.849550, SerializeExports=159.965714, SerializeBulkData=0.009961, MoveFile=3.860667, UnaccountedTime=0.939433, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_16, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=6.198980, FlushAsyncLoading=0.005435, FlushStreamingFunc=0.032600, BlockTillAllRequestsFinished=0.004228, ResetLoadersForSaveUnMarkAllObjects=0.149123, TagPackageExports=123.456787, BeginCacheForCookedPlatformData=0.006337, SerializeImports=130.877747, GatherLocalizableTextData=95.218590, MarkNames=1.201760, SerializeSummary=0.023548, SerializeNames=0.861548, SerializeGatherableTextData=0.907131, BuildExportMap=1.147121, SortExportsNonSeekfree=31.166069, SortExportsSeekfreeConstructor=0.079092, SortExportsSeekfreeInner=140.821167, SortExportsSeekfree=0.007547, BuildDependencyMap=1.135651, SerializeImportMap=0.050113, SerializeExportMap=0.593785, SerializeDependencyMap=0.108674, SerializeStringAssetReferenceMap=0.002414, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.355469, SerializeExports=162.254532, SerializeBulkData=0.010867, MoveFile=3.669884, UnaccountedTime=3.645427, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_17, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Saved/Autosaves/Game/Levels/MainLevel_Auto5.umap, AutoPackageBackupDelegate=15.148937, FlushAsyncLoading=0.012681, FlushStreamingFunc=0.054337, BlockTillAllRequestsFinished=0.006340, ResetLoadersForSaveUnMarkAllObjects=94.898903, TagPackageExports=2.510082, BeginCacheForCookedPlatformData=0.001814, SerializeImports=3.919531, GatherLocalizableTextData=10.437895, MarkNames=0.094183, SerializeSummary=0.017207, SerializeNames=0.493865, SerializeGatherableTextData=0.024755, BuildExportMap=0.288591, SortExportsNonSeekfree=0.608277, SortExportsSeekfreeConstructor=0.066414, SortExportsSeekfreeInner=20.043823, SortExportsSeekfree=0.035018, BuildDependencyMap=0.105657, SerializeImportMap=0.045583, SerializeExportMap=0.035923, SerializeDependencyMap=0.008453, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.135048, SerializeExports=7.974300, SerializeBulkData=1.097012, MoveFile=3.716066, UnaccountedTime=0.272594, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_18, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=55.971054, FlushAsyncLoading=0.012677, FlushStreamingFunc=0.044074, BlockTillAllRequestsFinished=0.006340, ResetLoadersForSaveUnMarkAllObjects=0.153955, TagPackageExports=134.816910, BeginCacheForCookedPlatformData=0.008453, SerializeImports=139.677368, GatherLocalizableTextData=97.897720, MarkNames=1.256701, SerializeSummary=0.026867, SerializeNames=0.868190, SerializeGatherableTextData=0.920713, BuildExportMap=1.434505, SortExportsNonSeekfree=35.887077, SortExportsSeekfreeConstructor=0.075165, SortExportsSeekfreeInner=146.785004, SortExportsSeekfree=0.007547, BuildDependencyMap=1.365677, SerializeImportMap=0.053130, SerializeExportMap=0.577483, SerializeDependencyMap=0.120446, SerializeStringAssetReferenceMap=0.002716, SaveThumbNailsAssetRegistryDataWorldLevelInfo=23.872494, SerializeExports=173.880295, SerializeBulkData=0.012074, MoveFile=43.831192, UnaccountedTime=2.009876, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_19, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=9.333942, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.038035, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.136748, TagPackageExports=136.264694, BeginCacheForCookedPlatformData=0.007849, SerializeImports=136.553894, GatherLocalizableTextData=99.849030, MarkNames=1.272097, SerializeSummary=0.023849, SerializeNames=0.884190, SerializeGatherableTextData=1.022447, BuildExportMap=1.226511, SortExportsNonSeekfree=31.928003, SortExportsSeekfreeConstructor=0.081506, SortExportsSeekfreeInner=139.524628, SortExportsSeekfree=0.009358, BuildDependencyMap=1.174290, SerializeImportMap=0.052527, SerializeExportMap=0.579294, SerializeDependencyMap=0.114709, SerializeStringAssetReferenceMap=0.002719, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.630474, SerializeExports=169.966202, SerializeBulkData=0.012077, MoveFile=4.133862, UnaccountedTime=2.083235, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
SavePackageTransactionId74D64B5248C1A3E899AA7D8A07621082_20, Filename=../../../../../../Users/AdamEdinburgh/Documents/GitHub/WorldShiftBase/WorldShiftBase/Content/FromPrototype/Blueprints/PlayerDummy.uasset, AutoPackageBackupDelegate=10.616302, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.052828, BlockTillAllRequestsFinished=0.006340, ResetLoadersForSaveUnMarkAllObjects=0.160597, TagPackageExports=142.712112, BeginCacheForCookedPlatformData=0.008453, SerializeImports=139.616394, GatherLocalizableTextData=100.271957, MarkNames=1.346659, SerializeSummary=0.025358, SerializeNames=1.001012, SerializeGatherableTextData=1.152858, BuildExportMap=1.410052, SortExportsNonSeekfree=33.848217, SortExportsSeekfreeConstructor=0.078186, SortExportsSeekfreeInner=147.947815, SortExportsSeekfree=0.008754, BuildDependencyMap=1.573972, SerializeImportMap=0.051621, SerializeExportMap=0.576276, SerializeDependencyMap=0.133425, SerializeStringAssetReferenceMap=0.004530, SaveThumbNailsAssetRegistryDataWorldLevelInfo=17.717886, SerializeExports=172.027390, SerializeBulkData=0.011168, MoveFile=19.933645, UnaccountedTime=2.055459, RunGuid=RunID088F0C8345D62EDAE606358CB30FEDD2
