CookerStat, GenerateAssetRegistry=0.019621, Initialize=0.109583, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_4, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_VRIS_NoDBuf_EA__A4369F554F584819B867308468C65255E9615F71, StartTime=2016.05.03-15.11.19, HierarchicalDDC=, DataSize=53459, Duration=20.740236, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C440CCEA4AD26AFA5C3485A663E5868E__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=347, Duration=1.785584, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_498552174DFCF04826D2C09626609C69__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=347, Duration=4.338831, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2AAE9D0F46CD845348EAAC9EC17AC93A__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=447, Duration=1.548011, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_874B9570405EEE4BE0C00188A09CC784__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=347, Duration=10.772664, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6621520C486C51C9C9CCEB9D55F44FFB__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=3566, Duration=11.971712, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_69649C59483A2B13EB785CAFC12AC400__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=511, Duration=10.585204, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40054FC34E086A8798A58C9100E63705__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=1887, Duration=3.882702, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_74653E0145EBF2DE17FEBE86A990D274__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=1312, Duration=4.720401, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_236A4A7E410B2259502D049D0D103FAF__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=1942, Duration=8.658945, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E762E334FDFB0E61C795FBC62874619__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=651, Duration=5.658023, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B9398D74A2F2DD7D768989C450EDA9B__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=499, Duration=5.522479, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6F0C18649BA34A7BABFD1ABA2EEE7F8__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=347, Duration=3.148243, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79BCE2E24025DBA5331E1FA9252262FC__1_0_13123_0, StartTime=2016.05.03-15.12.27, HierarchicalDDC=, DataSize=347, Duration=1.644004, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D59017D43A6D624EAD49792D1F9F39B__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=347, Duration=1.680229, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9ABCCB7645ADAB1517D483B55E974FD5__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=347, Duration=1.529597, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionId5A2A3C9044C08962AABDB9BE9EFA287F_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_471D5D4D4EF7203AC31968A8653D85A6__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=447, Duration=1.547404, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdC0931F04430B34844D8048999CC92FBC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DAF9118941A190D26E3FA48346CE89F4__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=347, Duration=2.171982, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
DDCTransactionIdE149B7D245960A787A912693A8BBA1BB_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F8EC17142CD0C7122502790FA87D211__1_0_13123_0, StartTime=2016.05.03-15.12.50, HierarchicalDDC=, DataSize=511, Duration=32.562515, RunGuid=RunID2F7181E5421C6201F3DE58AC82F10FC3
